trade_date,close,turnover_rate,pe,pb,ps,dv_ratio,total_mv
20140610,11.75,1.1155,7.3448,0.9537,2.1435,0.7786,11186876.15
20140611,11.78,0.777,7.3636,0.9561,2.149,0.7766,11215438.38
20140612,9.71,0.5492,7.2835,0.9582,2.1257,0.7851,11093572.84
20140613,10.12,1.8525,7.5911,0.9986,2.2154,0.7533,11561993.52
20140616,10.13,1.3125,7.5986,0.9996,2.2176,0.7526,11573418.42
20140617,10.04,0.8098,7.5311,0.9908,2.1979,0.7593,11470594.37
20140618,9.86,0.8049,7.3961,0.973,2.1585,0.7732,11264946.26
20140619,9.78,0.722,7.3361,0.9651,2.141,0.7795,11173547.1
20140620,9.85,0.5561,7.3886,0.972,2.1563,0.774,11253521.37
20140623,9.77,0.6439,7.3286,0.9641,2.1388,0.7803,11162122.21
20140624,9.8,0.4253,7.3511,0.9671,2.1454,0.7779,11196396.89
20140625,9.77,0.4054,7.3286,0.9641,2.1388,0.7803,11162122.21
20140626,9.82,0.5125,7.3661,0.969,2.1497,0.7763,11219246.68
20140627,9.82,0.5493,7.3661,0.969,2.1497,0.7763,11219246.68
20140630,9.91,0.6684,7.4336,0.9779,2.1694,0.7693,11322070.73
20140701,9.86,0.4259,7.3961,0.973,2.1585,0.7732,11264946.26
20140702,9.89,0.4275,7.4186,0.9759,2.1651,0.7708,11299220.94
20140703,9.96,0.6679,7.4711,0.9829,2.1804,0.7654,11379195.21
20140704,9.91,0.5116,7.4336,0.9779,2.1694,0.7693,11322070.73
20140707,9.86,0.5127,7.3961,0.973,2.1585,0.7732,11264946.26
20140708,9.93,0.5172,7.4486,0.9799,2.1738,0.7677,11344920.52
20140709,9.65,0.8786,7.2385,0.9523,2.1125,0.79,11025023.47
20140710,9.67,0.5384,7.2535,0.9542,2.1169,0.7884,11047873.26
20140711,9.67,0.4757,7.2535,0.9542,2.1169,0.7884,11047873.26
20140714,9.72,0.6921,7.291,0.9592,2.1278,0.7843,11104997.73
20140716,9.61,0.9232,7.2085,0.9483,2.1038,0.7933,10979323.89
20140717,9.59,0.4784,7.1935,0.9463,2.0994,0.7949,10956474.1
20140718,9.6,0.5606,7.201,0.9473,2.1016,0.7941,10967899
20140721,9.55,0.408,7.1635,0.9424,2.0906,0.7983,10910774.52
20140722,9.73,0.9172,7.2986,0.9602,2.13,0.7835,11116422.63
20140723,9.76,0.8305,7.3211,0.9631,2.1366,0.7811,11150697.31
20140724,10.16,2.6989,7.6211,1.0026,2.2242,0.7503,11607693.1
20140725,10.22,1.2762,7.6661,1.0085,2.2373,0.7459,11676242.47
20140728,10.78,2.7916,8.0862,1.0638,2.3599,0.7072,12316036.58
20140729,10.82,1.7962,8.1162,1.0677,2.3686,0.7046,12361736.16
20140730,10.75,1.2106,8.0637,1.0608,2.3533,0.7092,12281761.9
20140731,10.87,0.9532,8.1537,1.0727,2.3796,0.7013,12418860.63
20140801,10.7,1.2771,8.0262,1.0559,2.3424,0.7125,12224637.42
20140804,10.93,1.2414,8.1987,1.0786,2.3927,0.6975,12487410
20140805,10.82,1.1241,8.1162,1.0677,2.3686,0.7046,12361736.16
20140806,10.65,1.2474,7.9887,1.0509,2.3314,0.7158,12167512.95
20140807,10.5,0.8914,7.8761,1.0361,2.2986,0.726,11996139.53
20140808,10.54,0.8304,7.9061,1.0401,2.3074,0.7233,12041839.11
20140811,10.71,0.9286,8.0337,1.0569,2.3446,0.7118,12236062.32
20140812,10.6,0.7186,7.9511,1.046,2.3205,0.7192,12110388.47
20140813,10.65,0.7971,7.9887,1.0509,2.3314,0.7158,12167512.95
20140814,10.54,0.7827,7.9061,0.9957,2.3074,0.7233,12041839.11
20140815,10.58,1.0089,7.9361,0.9995,2.3161,0.7206,12087538.68
20140818,10.65,0.8803,7.9887,1.0061,2.3314,0.7158,12167512.95
20140819,10.58,0.8681,7.9361,0.9995,2.3161,0.7206,12087538.68
20140820,10.47,0.8568,7.8536,0.9891,2.292,0.7281,11961864.84
20140821,10.34,0.9449,7.7561,0.9768,2.2636,0.7373,11813341.21
20140822,10.35,0.7197,7.7636,0.9777,2.2658,0.7366,11824766.1
20140825,10.21,0.7614,7.6586,0.9645,2.2351,0.7467,11664817.58
20140826,10.19,0.6892,7.6436,0.9626,2.2307,0.7481,11641967.79
20140827,10.24,0.8566,7.6811,0.9673,2.2417,0.7445,11699092.26
20140828,10.15,0.6561,7.6136,0.9588,2.222,0.7511,11596268.21
20140829,10.25,0.5137,7.6886,0.9683,2.2439,0.7437,11710517.16
20140901,10.3,0.4959,7.7261,0.973,2.2548,0.7401,11767641.63
20140902,10.45,0.8011,7.8386,0.9872,2.2876,0.7295,11939015.05
20140903,10.5,0.7797,7.8761,0.9919,2.2986,0.726,11996139.53
20140904,10.55,0.6386,7.9136,0.9966,2.3095,0.7226,12053264
20140905,10.57,0.6078,7.9286,0.9985,2.3139,0.7212,12076113.79
20140909,10.46,0.5761,7.8461,0.9881,2.2898,0.7288,11950439.95
20140910,10.33,0.5404,7.7486,0.9758,2.2614,0.738,11801916.32
20140911,10.37,0.7253,7.7786,0.9796,2.2701,0.7351,11847615.89
20140912,10.37,0.4154,7.7786,0.9796,2.2701,0.7351,11847615.89
20140915,10.31,0.524,7.7336,0.974,2.257,0.7394,11779066.53
20140916,10.25,0.8421,7.6886,0.9683,2.2439,0.7437,11710517.16
20140917,10.26,0.566,7.6961,0.9692,2.2461,0.743,11721942.05
20140918,10.33,0.7811,7.7486,0.9758,2.2614,0.738,11801916.32
20140919,10.38,0.5802,7.7861,0.9806,2.2723,0.7344,11859040.79
20140922,10.06,0.8033,7.5461,0.9503,2.2023,0.7578,11493444.16
20140923,10.1,0.4698,7.5761,0.9541,2.211,0.7548,11539143.73
20140924,10.28,0.7732,7.7111,0.9711,2.2504,0.7416,11744791.84
20140925,10.18,0.6884,7.6361,0.9617,2.2285,0.7489,11630542.89
20140926,10.12,0.4612,7.5911,0.956,2.2154,0.7533,11561993.52
20140929,10.12,0.6154,7.5911,0.956,2.2154,0.7533,11561993.52
20140930,10.14,0.492,7.6061,0.9579,2.2198,0.7518,11584843.31
20141008,10.26,0.6859,7.6961,0.9692,2.2461,0.743,11721942.05
20141009,10.2,0.6734,7.6511,0.9636,2.2329,0.7474,11653392.68
20141010,10.16,0.6703,7.6211,0.9598,2.2242,0.7503,11607693.1
20141013,10.1,0.5285,7.5761,0.9541,2.211,0.7548,11539143.73
20141014,10.12,0.5854,7.5911,0.956,2.2154,0.7533,11561993.52
20141015,10.16,0.6076,7.6211,0.9598,2.2242,0.7503,11607693.1
20141016,10.2,1.3457,7.6511,0.9636,2.2329,0.7474,11653392.68
20141017,10.12,0.7121,7.5911,0.956,2.2154,0.7533,11561993.52
20141020,10.17,0.6213,7.6286,0.9607,2.2264,0.7496,11619118
20141021,10.09,0.4944,7.5686,0.9532,2.2088,0.7555,11527718.84
20141022,10.1,0.5687,7.5761,0.9541,2.211,0.7548,11539143.73
20141023,10.24,1.6118,7.6811,0.9673,2.2417,0.7445,11699092.26
20141024,10.18,0.8346,7.6361,0.9177,2.2285,0.7489,11630542.89
20141027,10.02,0.7417,7.5161,0.9033,2.1935,0.7608,11447744.58
20141028,10.17,0.5395,7.6286,0.9168,2.2264,0.7496,11619118
20141029,10.3,1.083,7.7261,0.9285,2.2548,0.7401,11767641.63
20141030,10.43,1.5459,7.8236,0.9402,2.2833,0.7309,11916165.26
20141031,11.03,3.6527,8.2737,0.9943,2.4146,0.6912,12601658.95
20141103,11.11,1.9487,8.3337,1.0015,2.4321,0.6862,12693058.11
20141104,10.85,1.3409,8.1387,0.9781,2.3752,0.7026,12396010.84
20141105,10.82,1.3072,8.1162,0.9754,2.3686,0.7046,12361736.16
20141106,10.84,0.6558,8.1312,0.9772,2.373,0.7033,12384585.95
20141107,10.91,2.2715,8.1837,0.9835,2.3884,0.6988,12464560.21
20141110,11.14,1.6483,8.3562,1.0042,2.4387,0.6843,12727332.79
20141111,11.27,3.0309,8.4537,1.016,2.4672,0.6764,12875856.42
20141112,11.2,1.4125,8.4012,1.0096,2.4518,0.6807,12795882.16
20141113,11.05,1.3626,8.2887,0.9961,2.419,0.6899,12624508.74
20141114,10.93,0.9165,8.1987,0.9853,2.3927,0.6975,12487410
20141117,10.76,0.9044,8.0712,0.97,2.3555,0.7085,12293186.79
20141118,10.61,0.9457,7.9586,0.9565,2.3227,0.7185,12121813.37
20141119,10.63,0.6015,7.9736,0.9583,2.3271,0.7172,12144663.16
20141120,10.63,0.6949,7.9736,0.9583,2.3271,0.7172,12144663.16
20141121,10.8,1.1658,8.1012,0.9736,2.3643,0.7059,12338886.37
20141124,10.78,2.2643,8.0862,0.9718,2.3599,0.7072,12316036.58
20141125,10.98,1.5938,8.2362,0.9898,2.4037,0.6943,12544534.48
20141126,11.21,2.2212,8.4087,1.0106,2.454,0.6801,12807307.06
20141127,11.31,2.1388,8.4837,1.0196,2.4759,0.674,12921556
20141128,12.44,4.9253,9.3313,1.1214,2.7233,0.6128,14212569.12
20141201,12.19,4.5393,9.1438,1.0989,2.6686,0.6254,13926946.75
20141202,13.12,3.5484,9.8414,1.1827,2.8721,0.5811,14989461.96
20141203,13.1,4.0639,9.8264,1.1809,2.8678,0.5819,14966612.17
20141204,13.96,3.5075,10.4715,1.2585,3.056,0.5461,15949153.12
20141205,14.53,4.487,10.8991,1.3098,3.1808,0.5247,16600372.13
20141208,15.23,3.9936,11.4241,1.3729,3.3341,0.5006,17400114.76
20141209,13.71,4.1126,10.284,1.2359,3.0013,0.556,15663530.75
20141210,14.19,3.5864,10.644,1.2792,3.1064,0.5372,16211925.7
20141211,13.92,2.2751,10.4415,1.2548,3.0473,0.5477,15903453.54
20141212,13.94,1.6712,10.4565,1.2567,3.0517,0.5469,15926303.33
20141215,13.58,1.8308,10.1865,1.2242,2.9729,0.5614,15515007.12
20141216,14.39,2.5101,10.7941,1.2972,3.1502,0.5298,16440423.6
20141217,15.36,4.4732,11.5217,1.3847,3.3625,0.4963,17548638.39
20141218,14.89,2.5113,11.1691,1.3423,3.2596,0.512,17011668.34
20141219,15,1.9675,11.2516,1.3522,3.2837,0.5082,17137342.18
20141222,15.34,3.5249,11.5067,1.3829,3.3581,0.497,17525788.6
20141223,14.75,1.8277,11.0641,1.3297,3.229,0.5168,16851719.81
20141224,14.07,2.0436,10.554,1.2684,3.0801,0.5418,16074826.97
20141225,14.69,2.0304,11.0191,1.3243,3.2158,0.519,16783170.44
20141226,15.1,2.4775,11.3266,1.3612,3.3056,0.5049,17251591.13
20141229,14.92,2.6291,11.1916,1.345,3.2662,0.511,17045943.02
20141230,15.5,2.4054,11.6267,1.3973,3.3932,0.4918,17708586.92
20141231,15.84,2.4399,11.8817,1.4279,3.4676,0.4813,18097033.34
20150105,16.02,2.9079,12.0167,1.4442,3.507,0.8323,18302681.45
20150106,15.78,2.2024,11.8367,1.4225,3.4545,0.845,18028483.97
20150107,15.48,1.7283,11.6117,1.3955,3.3888,0.8613,17685737.13
20150108,14.96,1.4311,11.2216,1.3486,3.275,0.8913,17091642.6
20150109,15.08,2.5501,11.3116,1.3594,3.3012,0.8842,17228741.34
20150112,14.77,1.5791,11.0791,1.3315,3.2334,0.9027,16874569.6
20150113,14.68,0.8304,11.0116,1.3234,3.2137,0.9083,16771745.55
20150114,14.81,1.284,11.1091,1.3351,3.2421,0.9003,16920269.18
20150115,15.35,1.2628,11.5142,1.3838,3.3603,0.8686,17537213.5
20150116,15.37,1.5817,11.5292,1.3856,3.3647,0.8675,17560063.29
20150119,13.83,2.1726,10.374,1.2467,3.0276,0.9641,15800629.49
20150120,13.83,1.5158,10.374,1.2467,3.0276,0.9641,15800629.49
20150121,14.42,1.9727,10.8166,1.2999,3.1567,0.9246,16474698.28
20150122,14.3,1.2758,10.7265,1.2891,3.1305,0.9324,16337599.55
20150123,14.4,1.4834,10.8016,1.2981,3.1524,0.9259,16451848.49
20150126,14.34,1.0752,10.7565,1.2927,3.1392,0.9298,16383299.12
20150127,13.99,1.3617,10.494,1.2612,3.0626,0.9531,15983427.81
20150128,14.06,1.2615,10.5465,1.2675,3.0779,0.9483,16063402.07
20150129,13.9,1.0336,10.4265,1.253,3.0429,0.9592,15880603.75
20150130,13.93,0.9456,10.449,1.2558,3.0495,0.9572,15914878.44
20150202,13.63,0.8752,10.224,1.2287,2.9838,0.9782,15572131.59
20150203,13.95,0.898,10.464,1.2576,3.0538,0.9558,15937728.23
20150204,13.71,0.821,10.284,1.2359,3.0013,0.9725,15663530.75
20150205,13.79,1.9455,10.344,1.2431,3.0188,0.9669,15754929.91
20150206,13.51,1.0475,10.134,1.2179,2.9575,0.9869,15435032.86
20150209,13.52,0.9623,10.1415,1.2188,2.9597,0.9862,15446457.75
20150210,13.77,0.7369,10.329,1.2413,3.0144,0.9683,15732080.12
20150211,13.73,0.5636,10.299,1.2377,3.0057,0.9711,15686380.54
20150212,13.86,0.6188,10.3965,1.2494,3.0341,0.962,15834904.17
20150213,13.95,0.9025,10.464,1.2576,3.0538,0.9558,15937728.23
20150216,13.92,0.7332,10.4415,1.2548,3.0473,0.9579,15903453.54
20150217,13.99,0.6918,10.494,1.2612,3.0626,0.9531,15983427.81
20150225,13.8,0.587,10.3515,1.244,3.021,0.9662,15766354.81
20150226,14.07,1.0426,10.554,1.2684,3.0801,0.9476,16074826.97
20150227,13.99,0.8067,10.494,1.2612,3.0626,0.9531,15983427.81
20150302,14.03,1.0357,10.524,1.2648,3.0714,0.9503,16029127.39
20150303,13.6,1.0771,10.2015,1.226,2.9772,0.9804,15537856.91
20150304,13.57,0.8285,10.179,1.2233,2.9707,0.9826,15503582.23
20150305,13.38,0.8424,10.0364,1.2062,2.9291,0.9965,15286509.23
